info string nn.bin not found — using HCE
info string loaded 6525 experience entries
info string datagen: 3000 games, depth 4, random_plies 10, output training_data_large.bin
info string datagen: 2660/3000 games, 223621 positions, 9.1 games/sec
info string datagen: 2670/3000 games, 224459 positions, 9.1 games/sec
info string datagen: 2680/3000 games, 225322 positions, 9.1 games/sec
info string datagen: 2690/3000 games, 226032 positions, 9.1 games/sec
info string datagen: 2700/3000 games, 226703 positions, 9.1 games/sec
info string datagen: 2710/3000 games, 227654 positions, 9.1 games/sec
info string datagen: 2720/3000 games, 228452 positions, 9.1 games/sec
info string datagen: 2730/3000 games, 229581 positions, 9.1 games/sec
info string datagen: 2740/3000 games, 230472 positions, 9.1 games/sec
info string datagen: 2750/3000 games, 231188 positions, 9.1 games/sec
info string datagen: 2760/3000 games, 232083 positions, 9.1 games/sec
info string datagen: 2770/3000 games, 232844 positions, 9.1 games/sec
info string datagen: 2780/3000 games, 233886 positions, 9.1 games/sec
info string datagen: 2790/3000 games, 234782 positions, 9.1 games/sec
info string datagen: 2800/3000 games, 235996 positions, 9.1 games/sec
info string datagen: 2810/3000 games, 236869 positions, 9.1 games/sec
info string datagen: 2820/3000 games, 237955 positions, 9.1 games/sec
info string datagen: 2830/3000 games, 238787 positions, 9.1 games/sec
info string datagen: 2840/3000 games, 239498 positions, 9.1 games/sec
info string datagen: 2850/3000 games, 240435 positions, 9.1 games/sec
info string datagen: 2860/3000 games, 241209 positions, 9.1 games/sec
info string datagen: 2870/3000 games, 242074 positions, 9.1 games/sec
info string datagen: 2880/3000 games, 242977 positions, 9.1 games/sec
info string datagen: 2890/3000 games, 243739 positions, 9.1 games/sec
info string datagen: 2900/3000 games, 244652 positions, 9.0 games/sec
info string datagen: 2910/3000 games, 245550 positions, 9.0 games/sec
info string datagen: 2920/3000 games, 246419 positions, 9.0 games/sec
info string datagen: 2930/3000 games, 247124 positions, 9.0 games/sec
info string datagen: 2940/3000 games, 248031 positions, 9.0 games/sec
info string datagen: 2950/3000 games, 248904 positions, 9.0 games/sec
info string datagen: 2960/3000 games, 249654 positions, 9.1 games/sec
info string datagen: 2970/3000 games, 250671 positions, 9.1 games/sec
info string datagen: 2980/3000 games, 251723 positions, 9.0 games/sec
info string datagen: 2990/3000 games, 252586 positions, 9.0 games/sec
info string datagen: 3000/3000 games, 253546 positions, 9.0 games/sec
info string datagen complete: 3000 games, 253546 positions, 332.8s (9.0 games/sec, 762 pos/sec)
